@relation data50in

@attribute T1 numeric
@attribute T2 numeric
@attribute T3 numeric
@attribute T4 numeric
@attribute T5 numeric
@attribute T6 numeric
@attribute T7 numeric
@attribute T8 numeric
@attribute T9 numeric
@attribute T10 numeric
@attribute T11 numeric
@attribute T12 numeric
@attribute T13 numeric
@attribute T14 numeric
@attribute T15 numeric
@attribute T16 numeric
@attribute T17 numeric
@attribute T18 numeric
@attribute T19 numeric
@attribute T20 numeric
@attribute T21 numeric
@attribute T22 numeric
@attribute T23 numeric
@attribute T24 numeric
@attribute T25 numeric
@attribute T26 numeric
@attribute T27 numeric
@attribute T28 numeric
@attribute T29 numeric
@attribute T30 numeric
@attribute T31 numeric
@attribute T32 numeric
@attribute T33 numeric
@attribute T34 numeric
@attribute T35 numeric
@attribute T36 numeric
@attribute T37 numeric
@attribute T38 numeric
@attribute T39 numeric
@attribute T40 numeric
@attribute T41 numeric
@attribute T42 numeric
@attribute T43 numeric
@attribute T44 numeric
@attribute T45 numeric
@attribute T46 numeric
@attribute T47 numeric
@attribute T48 numeric
@attribute T49 numeric
@attribute T50 numeric
@attribute RegisterRT numeric

@data
2.0854,2.1025,2.1518,2.1685,2.16085,2.1532,2.1532,2.1206,2.2708,2.2712,2.3046,2.3209,2.3543,2.338,2.3714,2.3706,2.4036,2.4201,2.4366,2.4211,2.4056,2.3889,2.4056,2.4549,2.4718,2.4887,2.4887,2.4219,2.4553,2.4394,2.4557,2.4557,2.4398,2.4072,2.4235,2.4072,0,2.3913,2.3913,2.3917,2.4757,2.4753,2.4753,2.4594,2.4435,2.4427,2.4598,2.4925,2.4925,2.4921,1
2.7388,2.6729,2.6729,2.6892,2.6892,2.7212,2.7054,2.705,2.8381,2.8381,2.8543,2.8051,2.8047,2.7727,2.8051,2.7717,2.7713,2.7388,2.7546,2.7388,2.7384,2.6892,2.7054,2.7708,2.7708,2.8195,2.8033,2.7699,2.7537,2.7203,2.6874,2.7036,2.7365,2.7699,2.7704,2.737,0,2.7532,2.7694,2.7699,2.6026,2.6188,2.5859,2.5864,2.5538,2.5534,2.5534,2.5701,2.5705,2.603,1
2.7248,2.7578,1.0347,1.0347,1.0347,1.0347,1.0514,1.0677,1.0677,1.0844,1.0677,1.0677,1.0514,1.0184,1.0351,0.9349,0.9184,0.935,0.9514,0.9514,0.9514,0.9514,1.0175,1.0175,1.1178,1.1176,1.1345,1.2006,1.2006,1.2006,1.2006,1.1513,1.168,1.1843,1.1843,1.201,0,1.2014,1.2014,1.2183,1.2844,1.2844,1.3175,1.3013,1.3349,1.3516,1.3516,1.3516,1.3518,1.3685,1
3.1475,3.2307,3.2479,3.2976,3.2658,3.2836,3.3668,3.4985,3.4991,3.5164,3.5654,3.6467,3.6721,3.6975,3.6987,3.7322,3.7644,3.7812,3.8146,3.8314,3.85,3.8333,3.8983,3.9304,3.8468,3.7985,3.8796,3.896,3.9124,3.9926,3.9766,3.9278,3.9933,4.0915,4.1569,4.2912,0,4.3551,4.2912,4.3565,4.3406,4.4037,4.3703,4.387,4.3391,4.32315,4.3072,4.2759,4.3086,4.3246,1
4.3406,4.3086,4.3427,4.4073,4.4226,4.572,4.5872,4.5872,4.5872,4.5887,4.5553,4.5902,4.5728,4.5257,4.528,4.5599,4.5675,4.5751,4.4794,4.5265,4.4771,4.5424,4.4756,4.4437,4.3703,4.2969,4.2642,4.2308,4.2461,4.3108,4.3101,4.2941,4.2774,4.3108,4.3268,4.3522,0,4.3776,4.3137,4.3122,4.2489,4.2642,4.2656,4.2169,4.2475,4.2802,4.2635,4.2162,4.2001,4.1848,1
4.3892,4.4203,4.4037,0.9352,0.9848,0.9682,0.9516,0.9352,0.9353,0.9354,0.9188,0.9188,0.9521,0.9686,0.9688,0.9688,1.002,1.0021,1.0022,0.9858,0.986,1.0523,1.0686,1.1187,1.1352,1.1191,1.1189,1.1523,1.1523,1.202,1.2022,1.069,1.1358,1.1525,1.1857,1.2521,0,1.2529,1.2533,1.303,1.3365,1.5362,1.6027,1.6692,1.7354,1.7687,1.8182,1.82685,1.8355,1.8525,1
4.9175,4.9175,5.0175,5.0692,5.1017,5.1342,5.1859,5.2184,5.2675,5.4,5.5676,5.5685,5.6333,5.6259,5.6185,5.6667,7,5.7481,5.7343,5.8304,5.8333,5.85,5.9323,6.0147,6.0303,6.0323,5.9843,5.9863,6.051,6.1303,6.048,6.0187,6.0187,6.099,6.0207,6.0707,0,6.0384,6.1197,6.1677,6.1979,6.2146,2,25,6.2177,6.1708,6.1384,6.1698,6.1531,6.13745,1
5.7071,5.7387,5.6225,5.6263,5.7081,5.7377,5.7229,5.6913,5.6913,5.7248,5.6736,5.7573,5.7081,5.6923,5.7721,5.74055,5.709,5.7387,5.7869,5.7535,5.7229,5.6951,5.7129,5.7296,5.7286,5.7464,5.7789,5.7435,5.7148,5.7138,5.7621,5.7129,5.7937,5.8262,5.8262,5.8587,0,5.8095,5.777,5.8075,5.7937,5.7592,5.7612,5.6597,5.6291,5.6607,5.7258,5.6291,5.6114,5.6253,2
5.8036,5.7564,5.7889,5.7889,1.1684,1.1849,1.1686,1.1853,1.1517,1.1354,1.1356,1.1523,1.1859,1.1859,1.2024,1.236,1.2857,1.4028,1.4275,1.4522,1.4858,1.5523,1.5526,1.5695,1.6027,1.6694,1.719,1.6864,1.7359,1.7365,1.803,1.8692,1.8865,1.9035,1.9366,1.9366,0,1.987,2.0367,2.0538,2.1039,2.1866,2.2534,2.2541,2.3376,2.4048,2.4378,2.5046,2.472,2.5551,1
6.3762,6.4096,6.5221,6.5243,6.6378,6.7545,6.8224,6.8747,6.9403,6.9748,7.0571,7.0904,7.1548,7.1393,7.2727,7.2715,7.2906,7.2477,7.2048,7.1917,7.256,7.1941,7.2943,7.3146,7.3635,7.3647,7.4612,7.5125,7.6435,7.6641,7.682,7.6165,7.682,7.67305,7.6641,7,0,7.6846,7.7475,7.7141,7.745,7.7437,7.8399,7.7937,7.8425,7.8605,7.8464,7.8759,7.8759,7.6962,2
